symbol,cik,name,sector,exchange
ANET,1596532,"Arista Networks, Inc.",Information Technology,NYSE
CL,21665,COLGATE PALMOLIVE CO,Materials,NYSE
DGX,1022079,QUEST DIAGNOSTICS INC,Health Care,NYSE
KLAC,319201,KLA CORP,Information Technology,Nasdaq
LYFT,1759509,"Lyft, Inc.",Information Technology,Nasdaq
WCC,929008,WESCO INTERNATIONAL INC,Industrials,NYSE
ORLY,898173,O REILLY AUTOMOTIVE INC,Consumer Discretionary,Nasdaq
STLD,1022671,STEEL DYNAMICS INC,Materials,Nasdaq
MCO,1059556,MOODYS CORP /DE/,Information Technology,NYSE
ITW,49826,ILLINOIS TOOL WORKS INC,Industrials,NYSE
YUM,1041061,YUM BRANDS INC,Consumer Discretionary,NYSE
RL,1037038,RALPH LAUREN CORP,Consumer Discretionary,NYSE
DASH,1792789,"DoorDash, Inc.",Information Technology,Nasdaq
AME,1037868,AMETEK INC/,Health Care,NYSE
CDW,1402057,CDW Corp,Consumer Discretionary,Nasdaq
GME,1326380,GameStop Corp.,Consumer Discretionary,NYSE
ROST,745732,"ROSS STORES, INC.",Consumer Discretionary,Nasdaq
SWKS,4127,"SKYWORKS SOLUTIONS, INC.",Information Technology,Nasdaq
SMCI,1375365,"Super Micro Computer, Inc.",Information Technology,Nasdaq
RIVN,1874178,"Rivian Automotive, Inc. / DE",Consumer Discretionary,Nasdaq
ULTA,1403568,"Ulta Beauty, Inc.",Consumer Discretionary,Nasdaq
MCHP,827054,MICROCHIP TECHNOLOGY INC,Information Technology,Nasdaq
AA,1675149,Alcoa Corp,Materials,NYSE
OSCR,1568651,"Oscar Health, Inc.",Health Care,NYSE
NVR,906163,NVR INC,Industrials,NYSE
OWL,1823945,BLUE OWL CAPITAL INC.,Financials,NYSE
TDY,1094285,TELEDYNE TECHNOLOGIES INC,Health Care,NYSE
TLN,1622536,Talen Energy Corp,Utilities,Nasdaq
COHR,820318,COHERENT CORP.,Information Technology,NYSE
GLDM,1618181,World Gold Trust,Financials,NYSE
FTV,1659166,Fortive Corp,Health Care,NYSE
