symbol,cik,name,sector,exchange
FUTU,1754581,Futu Holdings Ltd,Financials,Nasdaq
MDT,1613103,Medtronic plc,Health Care,NYSE
AMGN,318154,AMGEN INC,Health Care,Nasdaq
FDX,1048911,FEDEX CORP,Industrials,NYSE
DLTR,935703,"DOLLAR TREE, INC.",Consumer Discretionary,Nasdaq
BBY,764478,BEST BUY CO INC,Consumer Discretionary,NYSE
PSA,1393311,Public Storage,Real Estate,NYSE
KHC,1637459,Kraft Heinz Co,Consumer Staples,Nasdaq
ABT,1800,ABBOTT LABORATORIES,Health Care,NYSE
HLT,1585689,Hilton Worldwide Holdings Inc.,Consumer Discretionary,NYSE
LIN,1707925,LINDE PLC,Materials,Nasdaq
MPC,1510295,Marathon Petroleum Corp,Energy,NYSE
XYL,1524472,Xylem Inc.,Industrials,NYSE
DHR,313616,DANAHER CORP /DE/,Health Care,NYSE
PDD,1737806,PDD Holdings Inc.,Information Technology,Nasdaq
MU,723125,MICRON TECHNOLOGY INC,Information Technology,Nasdaq
LPLA,1397911,LPL Financial Holdings Inc.,Financials,Nasdaq
DAL,27904,"DELTA AIR LINES, INC.",Industrials,NYSE
AVB,915912,AVALONBAY COMMUNITIES INC,Real Estate,NYSE
MCK,927653,MCKESSON CORP,Health Care,NYSE
UAL,100517,"United Airlines Holdings, Inc.",Industrials,Nasdaq
XEL,72903,XCEL ENERGY INC,Utilities,Nasdaq
HON,773840,HONEYWELL INTERNATIONAL INC,Industrials,Nasdaq
PSX,1534701,Phillips 66,Energy,NYSE
AMD,2488,ADVANCED MICRO DEVICES INC,Information Technology,Nasdaq
UPS,1090727,UNITED PARCEL SERVICE INC,Industrials,NYSE
UNP,100885,UNION PACIFIC CORP,Industrials,NYSE
AJG,354190,Arthur J. Gallagher & Co.,Financials,NYSE
CPB,16732,CAMPBELL'S Co,Consumer Staples,Nasdaq
PM,1413329,Philip Morris International Inc.,Consumer Staples,NYSE
OKE,1039684,ONEOK INC /NEW/,Utilities,NYSE
AAL,6201,American Airlines Group Inc.,Industrials,Nasdaq
BIDU,1329099,"Baidu, Inc.",Information Technology,Nasdaq
SPGI,64040,S&P Global Inc.,Information Technology,NYSE
GILD,882095,"GILEAD SCIENCES, INC.",Health Care,Nasdaq
TGT,27419,TARGET CORP,Consumer Discretionary,NYSE
VLO,1035002,VALERO ENERGY CORP/TX,Energy,NYSE
MRSH,62709,"MARSH & MCLENNAN COMPANIES, INC.",Financials,NYSE
ALB,915913,ALBEMARLE CORP,Materials,NYSE
ZTS,1555280,Zoetis Inc.,Health Care,NYSE
GEV,1996810,GE Vernova Inc.,Information Technology,NYSE
NEM,1164727,NEWMONT Corp /DE/,Materials,NYSE
SHOP,1594805,SHOPIFY INC.,Information Technology,Nasdaq
CRH,849395,CRH PUBLIC LTD CO,Materials,NYSE
KDP,1418135,Keurig Dr Pepper Inc.,Consumer Staples,Nasdaq
LDOS,1336920,"Leidos Holdings, Inc.",Information Technology,NYSE
SLB,87347,SLB LIMITED/NV,Energy,NYSE
RPRX,1802768,Royalty Pharma plc,Health Care,Nasdaq
ECHO,1415404,EchoStar CORP,Communication Services,Nasdaq
DTE,936340,DTE ENERGY CO,Utilities,NYSE
KR,56873,KROGER CO,Consumer Discretionary,NYSE
CCL,815097,Carnival Corp Ltd.,Industrials,NYSE
GPN,1123360,GLOBAL PAYMENTS INC,Information Technology,NYSE
AON,315293,Aon plc,Financials,NYSE
LOW,60667,LOWES COMPANIES INC,Consumer Discretionary,NYSE
VG,2007855,"Venture Global, Inc.",Utilities,NYSE
ADI,6281,ANALOG DEVICES INC,Information Technology,Nasdaq
TKO,1973266,"TKO Group Holdings, Inc.",Communication Services,NYSE
WM,823768,WASTE MANAGEMENT INC,Utilities,NYSE
NSC,702165,NORFOLK SOUTHERN CORP,Industrials,NYSE
SW,2005951,Smurfit Westrock plc,Materials,NYSE
CSX,277948,CSX CORP,Industrials,Nasdaq
CF,1324404,"CF Industries Holdings, Inc.",Materials,NYSE
SOFI,1818874,"SoFi Technologies, Inc.",Financials,Nasdaq
EMR,32604,EMERSON ELECTRIC CO,Information Technology,NYSE
MGM,789570,MGM Resorts International,Consumer Discretionary,NYSE
BSX,885725,BOSTON SCIENTIFIC CORP,Health Care,NYSE
LHX,202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",Health Care,NYSE
EA,712515,ELECTRONIC ARTS INC.,Information Technology,Nasdaq
GAP,39911,GAP INC,Consumer Discretionary,NYSE
ETN,1551182,Eaton Corp plc,Industrials,NYSE
HII,1501585,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,NYSE
TEVA,818686,TEVA PHARMACEUTICAL INDUSTRIES LTD,Health Care,NYSE
JCI,833444,Johnson Controls International plc,Industrials,NYSE
BKR,1701605,Baker Hughes Co,Industrials,Nasdaq
RCL,884887,ROYAL CARIBBEAN CRUISES LTD,Industrials,NYSE
REGN,872589,"REGENERON PHARMACEUTICALS, INC.",Health Care,Nasdaq
NKE,320187,"NIKE, Inc.",Materials,NYSE
MSTR,1050446,Strategy Inc,Financials,Nasdaq
MKC,63754,MCCORMICK & CO INC,Consumer Staples,NYSE
PAYX,723531,PAYCHEX INC,Industrials,Nasdaq
EQIX,1101239,EQUINIX INC,Real Estate,Nasdaq
CARR,1783180,CARRIER GLOBAL Corp,Industrials,NYSE
RKT,1805284,"Rocket Companies, Inc.",Financials,NYSE
